sequence_id,sample_id,plant,year,plot,nitrogen_conc,replicate,sample_date,days_after_fertilization,nucleotide,target_region,fertilization,soil_type,project
3080_C_2018_P37_N300_B_20180514,3080,C,2018,P37,N300,B,20180514,5,DNA,16S,yes,rhizosphere,LAMPS_2018
3081_C_2018_P39_N0_A_20180514,3081,C,2018,P39,N0,A,20180514,5,DNA,16S,yes,rhizosphere,LAMPS_2018
3082_C_2018_P39_N0_B_20180514,3082,C,2018,P39,N0,B,20180514,5,DNA,16S,yes,rhizosphere,LAMPS_2018
3083_C_2018_P40_N200_A_20180514,3083,C,2018,P40,N200,A,20180514,5,DNA,16S,yes,rhizosphere,LAMPS_2018
3084_C_2018_P40_N200_B_20180514,3084,C,2018,P40,N200,B,20180514,5,DNA,16S,yes,rhizosphere,LAMPS_2018
3085_C_2018_P43_N200_A_20180514,3085,C,2018,P43,N200,A,20180514,5,DNA,16S,yes,rhizosphere,LAMPS_2018
3086_C_2018_P43_N200_B_20180514,3086,C,2018,P43,N200,B,20180514,5,DNA,16S,yes,rhizosphere,LAMPS_2018
3087_C_2018_P44_N0_A_20180514,3087,C,2018,P44,N0,A,20180514,5,DNA,16S,yes,rhizosphere,LAMPS_2018
3088_C_2018_P44_N0_B_20180514,3088,C,2018,P44,N0,B,20180514,5,DNA,16S,yes,rhizosphere,LAMPS_2018
3089_C_2018_P45_N300_A_20180514,3089,C,2018,P45,N300,A,20180514,5,DNA,16S,yes,rhizosphere,LAMPS_2018
3090_C_2018_P45_N300_B_20180514,3090,C,2018,P45,N300,B,20180514,5,DNA,16S,yes,rhizosphere,LAMPS_2018
3091_M_2017_P46_N0_A_20180514,3091,M,2017,P46,N0,A,20180514,5,DNA,16S,yes,rhizosphere,LAMPS_2018
3092_M_2017_P46_N0_B_20180514,3092,M,2017,P46,N0,B,20180514,5,DNA,16S,yes,rhizosphere,LAMPS_2018
3093_M_2017_P48_N400_A_20180514,3093,M,2017,P48,N400,A,20180514,5,DNA,16S,yes,rhizosphere,LAMPS_2018
3094_M_2017_P48_N400_B_20180514,3094,M,2017,P48,N400,B,20180514,5,DNA,16S,yes,rhizosphere,LAMPS_2018
3095_M_2017_P50_N200_A_20180514,3095,M,2017,P50,N200,A,20180514,5,DNA,16S,yes,rhizosphere,LAMPS_2018
3096_M_2017_P50_N200_B_20180514,3096,M,2017,P50,N200,B,20180514,5,DNA,16S,yes,rhizosphere,LAMPS_2018
3097_M_2015_P53_N400_A_20180514,3097,M,2015,P53,N400,A,20180514,5,DNA,16S,yes,rhizosphere,LAMPS_2018
3098_M_2015_P53_N400_B_20180514,3098,M,2015,P53,N400,B,20180514,5,DNA,16S,yes,rhizosphere,LAMPS_2018
3099_M_2015_P54_N200_A_20180514,3099,M,2015,P54,N200,A,20180514,5,DNA,16S,yes,rhizosphere,LAMPS_2018
3100_M_2015_P54_N200_B_20180514,3100,M,2015,P54,N200,B,20180514,5,DNA,16S,yes,rhizosphere,LAMPS_2018
3101_M_2015_P55_N0_A_20180514,3101,M,2015,P55,N0,A,20180514,5,DNA,16S,yes,rhizosphere,LAMPS_2018
3102_M_2015_P55_N0_B_20180514,3102,M,2015,P55,N0,B,20180514,5,DNA,16S,yes,rhizosphere,LAMPS_2018
3103_M_2016_P56_N0_A_20180514,3103,M,2016,P56,N0,A,20180514,5,DNA,16S,yes,rhizosphere,LAMPS_2018
3104_M_2016_P56_N0_B_20180514,3104,M,2016,P56,N0,B,20180514,5,DNA,16S,yes,rhizosphere,LAMPS_2018
3105_M_2016_P58_N400_A_20180514,3105,M,2016,P58,N400,A,20180514,5,DNA,16S,yes,rhizosphere,LAMPS_2018
3106_M_2016_P58_N400_B_20180514,3106,M,2016,P58,N400,B,20180514,5,DNA,16S,yes,rhizosphere,LAMPS_2018
3107_M_2016_P60_N200_A_20180514,3107,M,2016,P60,N200,A,20180514,5,DNA,16S,yes,rhizosphere,LAMPS_2018
3108_M_2016_P60_N200_B_20180514,3108,M,2016,P60,N200,B,20180514,5,DNA,16S,yes,rhizosphere,LAMPS_2018
3109_C_2018_P14_N0_BULK_DNA_20180514,3109,C,2018,P14,N0,BULK_DNA,20180514,5,DNA,16S,yes,bulk,LAMPS_2018
3110_C_2018_P13_N300_BULK_DNA_20180514,3110,C,2018,P13,N300,BULK_DNA,20180514,5,DNA,16S,yes,bulk,LAMPS_2018
3111_C_2018_P12_N200_BULK_DNA_20180514,3111,C,2018,P12,N200,BULK_DNA,20180514,5,DNA,16S,yes,bulk,LAMPS_2018
3112_M_2017_P14_N0_BULK_DNA_20180514,3112,M,2017,P14,N0,BULK_DNA,20180514,5,DNA,16S,yes,bulk,LAMPS_2018
3113_M_2017_P13_N400_BULK_DNA_20180514,3113,M,2017,P13,N400,BULK_DNA,20180514,5,DNA,16S,yes,bulk,LAMPS_2018
3114_M_2017_P12_N200_BULK_DNA_20180514,3114,M,2017,P12,N200,BULK_DNA,20180514,5,DNA,16S,yes,bulk,LAMPS_2018
3115_M_2016_P7_N0_BULK_DNA_20180514,3115,M,2016,P7,N0,BULK_DNA,20180514,5,DNA,16S,yes,bulk,LAMPS_2018
3116_M_2016_P6_N400_BULK_DNA_20180514,3116,M,2016,P6,N400,BULK_DNA,20180514,5,DNA,16S,yes,bulk,LAMPS_2018
3117_M_2016_P9_N200_BULK_DNA_20180514,3117,M,2016,P9,N200,BULK_DNA,20180514,5,DNA,16S,yes,bulk,LAMPS_2018
3118_M_2015_P4_N0_BULK_DNA_20180514,3118,M,2015,P4,N0,BULK_DNA,20180514,5,DNA,16S,yes,bulk,LAMPS_2018
3119_M_2015_P3_N400_BULK_DNA_20180514,3119,M,2015,P3,N400,BULK_DNA,20180514,5,DNA,16S,yes,bulk,LAMPS_2018
3120_M_2015_P5_N200_BULK_DNA_20180514,3120,M,2015,P5,N200,BULK_DNA,20180514,5,DNA,16S,yes,bulk,LAMPS_2018
4001_C_2018_P3_N300_A_20180530,4001,C,2018,P3,N300,A,20180530,21,DNA,16S,yes,rhizosphere,LAMPS_2018
4002_C_2018_P3_N300_B_20180530,4002,C,2018,P3,N300,B,20180530,21,DNA,16S,yes,rhizosphere,LAMPS_2018
4003_C_2018_P4_N0_A_20180530,4003,C,2018,P4,N0,A,20180530,21,DNA,16S,yes,rhizosphere,LAMPS_2018
4004_C_2018_P4_N0_B_20180530,4004,C,2018,P4,N0,B,20180530,21,DNA,16S,yes,rhizosphere,LAMPS_2018
4005_C_2018_P5_N200_A_20180530,4005,C,2018,P5,N200,A,20180530,21,DNA,16S,yes,rhizosphere,LAMPS_2018
4006_C_2018_P5_N200_B_20180530,4006,C,2018,P5,N200,B,20180530,21,DNA,16S,yes,rhizosphere,LAMPS_2018
4007_C_2018_P6_N300_A_20180530,4007,C,2018,P6,N300,A,20180530,21,DNA,16S,yes,rhizosphere,LAMPS_2018
4008_C_2018_P6_N300_B_20180530,4008,C,2018,P6,N300,B,20180530,21,DNA,16S,yes,rhizosphere,LAMPS_2018
4009_C_2018_P7_N0_A_20180530,4009,C,2018,P7,N0,A,20180530,21,DNA,16S,yes,rhizosphere,LAMPS_2018
4010_C_2018_P7_N0_B_20180530,4010,C,2018,P7,N0,B,20180530,21,DNA,16S,yes,rhizosphere,LAMPS_2018
4011_C_2018_P9_N200_A_20180530,4011,C,2018,P9,N200,A,20180530,21,DNA,16S,yes,rhizosphere,LAMPS_2018
4012_C_2018_P9_N200_B_20180530,4012,C,2018,P9,N200,B,20180530,21,DNA,16S,yes,rhizosphere,LAMPS_2018
4013_C_2018_P12_N200_A_20180530,4013,C,2018,P12,N200,A,20180530,21,DNA,16S,yes,rhizosphere,LAMPS_2018
4014_C_2018_P12_N200_B_20180530,4014,C,2018,P12,N200,B,20180530,21,DNA,16S,yes,rhizosphere,LAMPS_2018
4015_C_2018_P13_N300_A_20180530,4015,C,2018,P13,N300,A,20180530,21,DNA,16S,yes,rhizosphere,LAMPS_2018
4016_C_2018_P13_N300_B_20180530,4016,C,2018,P13,N300,B,20180530,21,DNA,16S,yes,rhizosphere,LAMPS_2018
4017_C_2018_P14_N0_A_20180530,4017,C,2018,P14,N0,A,20180530,21,DNA,16S,yes,rhizosphere,LAMPS_2018
4018_C_2018_P14_N0_B_20180530,4018,C,2018,P14,N0,B,20180530,21,DNA,16S,yes,rhizosphere,LAMPS_2018
4019_M_2015_P3_N400_A_20180530,4019,M,2015,P3,N400,A,20180530,21,DNA,16S,yes,rhizosphere,LAMPS_2018
4020_M_2015_P3_N400_B_20180530,4020,M,2015,P3,N400,B,20180530,21,DNA,16S,yes,rhizosphere,LAMPS_2018
4021_M_2015_P4_N0_A_20180530,4021,M,2015,P4,N0,A,20180530,21,DNA,16S,yes,rhizosphere,LAMPS_2018
4022_M_2015_P4_N0_B_20180530,4022,M,2015,P4,N0,B,20180530,21,DNA,16S,yes,rhizosphere,LAMPS_2018
4023_M_2015_P5_N200_A_20180530,4023,M,2015,P5,N200,A,20180530,21,DNA,16S,yes,rhizosphere,LAMPS_2018
4024_M_2015_P5_N200_B_20180530,4024,M,2015,P5,N200,B,20180530,21,DNA,16S,yes,rhizosphere,LAMPS_2018
4025_M_2016_P6_N400_A_20180530,4025,M,2016,P6,N400,A,20180530,21,DNA,16S,yes,rhizosphere,LAMPS_2018
4026_M_2016_P6_N400_B_20180530,4026,M,2016,P6,N400,B,20180530,21,DNA,16S,yes,rhizosphere,LAMPS_2018
4027_M_2016_P7_N0_A_20180530,4027,M,2016,P7,N0,A,20180530,21,DNA,16S,yes,rhizosphere,LAMPS_2018
4028_M_2016_P7_N0_B_20180530,4028,M,2016,P7,N0,B,20180530,21,DNA,16S,yes,rhizosphere,LAMPS_2018
4029_M_2016_P9_N200_A_20180530,4029,M,2016,P9,N200,A,20180530,21,DNA,16S,yes,rhizosphere,LAMPS_2018
4030_M_2016_P9_N200_B_20180530,4030,M,2016,P9,N200,B,20180530,21,DNA,16S,yes,rhizosphere,LAMPS_2018
4031_M_2017_P12_N200_A_20180530,4031,M,2017,P12,N200,A,20180530,21,DNA,16S,yes,rhizosphere,LAMPS_2018
4032_M_2017_P12_N200_B_20180530,4032,M,2017,P12,N200,B,20180530,21,DNA,16S,yes,rhizosphere,LAMPS_2018
4033_M_2017_P13_N400_A_20180530,4033,M,2017,P13,N400,A,20180530,21,DNA,16S,yes,rhizosphere,LAMPS_2018
4034_M_2017_P13_N400_B_20180530,4034,M,2017,P13,N400,B,20180530,21,DNA,16S,yes,rhizosphere,LAMPS_2018
4035_M_2017_P14_N0_A_20180530,4035,M,2017,P14,N0,A,20180530,21,DNA,16S,yes,rhizosphere,LAMPS_2018
4036_M_2017_P14_N0_B_20180530,4036,M,2017,P14,N0,B,20180530,21,DNA,16S,yes,rhizosphere,LAMPS_2018
4037_M_2016_P17_N400_A_20180530,4037,M,2016,P17,N400,A,20180530,21,DNA,16S,yes,rhizosphere,LAMPS_2018
4038_M_2016_P17_N400_B_20180530,4038,M,2016,P17,N400,B,20180530,21,DNA,16S,yes,rhizosphere,LAMPS_2018
4039_M_2016_P18_N200_A_20180530,4039,M,2016,P18,N200,A,20180530,21,DNA,16S,yes,rhizosphere,LAMPS_2018
4040_M_2016_P18_N200_B_20180530,4040,M,2016,P18,N200,B,20180530,21,DNA,16S,yes,rhizosphere,LAMPS_2018
4041_M_2016_P19_N0_A_20180530,4041,M,2016,P19,N0,A,20180530,21,DNA,16S,yes,rhizosphere,LAMPS_2018
4042_M_2016_P19_N0_B_20180530,4042,M,2016,P19,N0,B,20180530,21,DNA,16S,yes,rhizosphere,LAMPS_2018
4043_M_2017_P22_N400_A_20180530,4043,M,2017,P22,N400,A,20180530,21,DNA,16S,yes,rhizosphere,LAMPS_2018
4044_M_2017_P22_N400_B_20180530,4044,M,2017,P22,N400,B,20180530,21,DNA,16S,yes,rhizosphere,LAMPS_2018
4045_M_2017_P24_N0_A_20180530,4045,M,2017,P24,N0,A,20180530,21,DNA,16S,yes,rhizosphere,LAMPS_2018
4046_M_2017_P24_N0_B_20180530,4046,M,2017,P24,N0,B,20180530,21,DNA,16S,yes,rhizosphere,LAMPS_2018
4047_M_2017_P25_N200_A_20180530,4047,M,2017,P25,N200,A,20180530,21,DNA,16S,yes,rhizosphere,LAMPS_2018
4048_M_2017_P25_N200_B_20180530,4048,M,2017,P25,N200,B,20180530,21,DNA,16S,yes,rhizosphere,LAMPS_2018
4049_M_2015_P27_N400_A_20180530,4049,M,2015,P27,N400,A,20180530,21,DNA,16S,yes,rhizosphere,LAMPS_2018
4050_M_2015_P27_N400_B_20180530,4050,M,2015,P27,N400,B,20180530,21,DNA,16S,yes,rhizosphere,LAMPS_2018
4051_M_2015_P28_N0_A_20180530,4051,M,2015,P28,N0,A,20180530,21,DNA,16S,yes,rhizosphere,LAMPS_2018
4052_M_2015_P28_N0_B_20180530,4052,M,2015,P28,N0,B,20180530,21,DNA,16S,yes,rhizosphere,LAMPS_2018
4053_M_2015_P30_N200_A_20180530,4053,M,2015,P30,N200,A,20180530,21,DNA,16S,yes,rhizosphere,LAMPS_2018
4054_M_2015_P30_N200_B_20180530,4054,M,2015,P30,N200,B,20180530,21,DNA,16S,yes,rhizosphere,LAMPS_2018
4055_M_2017_P33_N200_A_20180530,4055,M,2017,P33,N200,A,20180530,21,DNA,16S,yes,rhizosphere,LAMPS_2018
4056_M_2017_P33_N200_B_20180530,4056,M,2017,P33,N200,B,20180530,21,DNA,16S,yes,rhizosphere,LAMPS_2018
4057_M_2017_P34_N400_A_20180530,4057,M,2017,P34,N400,A,20180530,21,DNA,16S,yes,rhizosphere,LAMPS_2018
4058_M_2017_P34_N400_B_20180530,4058,M,2017,P34,N400,B,20180530,21,DNA,16S,yes,rhizosphere,LAMPS_2018
4059_M_2017_P35_N0_A_20180530,4059,M,2017,P35,N0,A,20180530,21,DNA,16S,yes,rhizosphere,LAMPS_2018
4060_M_2017_P35_N0_B_20180530,4060,M,2017,P35,N0,B,20180530,21,DNA,16S,yes,rhizosphere,LAMPS_2018
4061_M_2016_P37_N400_A_20180530,4061,M,2016,P37,N400,A,20180530,21,DNA,16S,yes,rhizosphere,LAMPS_2018
4062_M_2016_P37_N400_B_20180530,4062,M,2016,P37,N400,B,20180530,21,DNA,16S,yes,rhizosphere,LAMPS_2018
4063_M_2016_P39_N0_A_20180530,4063,M,2016,P39,N0,A,20180530,21,DNA,16S,yes,rhizosphere,LAMPS_2018
4064_M_2016_P39_N0_B_20180530,4064,M,2016,P39,N0,B,20180530,21,DNA,16S,yes,rhizosphere,LAMPS_2018
4065_M_2016_P40_N200_A_20180530,4065,M,2016,P40,N200,A,20180530,21,DNA,16S,yes,rhizosphere,LAMPS_2018
4066_M_2016_P40_N200_B_20180530,4066,M,2016,P40,N200,B,20180530,21,DNA,16S,yes,rhizosphere,LAMPS_2018
4067_M_2015_P43_N200_A_20180530,4067,M,2015,P43,N200,A,20180530,21,DNA,16S,yes,rhizosphere,LAMPS_2018
4068_M_2015_P43_N200_B_20180530,4068,M,2015,P43,N200,B,20180530,21,DNA,16S,yes,rhizosphere,LAMPS_2018
4069_M_2015_P44_N0_A_20180530,4069,M,2015,P44,N0,A,20180530,21,DNA,16S,yes,rhizosphere,LAMPS_2018
4070_M_2015_P44_N0_B_20180530,4070,M,2015,P44,N0,B,20180530,21,DNA,16S,yes,rhizosphere,LAMPS_2018
4071_M_2015_P45_N400_A_20180530,4071,M,2015,P45,N400,A,20180530,21,DNA,16S,yes,rhizosphere,LAMPS_2018
4072_M_2015_P45_N400_B_20180530,4072,M,2015,P45,N400,B,20180530,21,DNA,16S,yes,rhizosphere,LAMPS_2018
4073_C_2018_P33_N200_A_20180530,4073,C,2018,P33,N200,A,20180530,21,DNA,16S,yes,rhizosphere,LAMPS_2018
4074_C_2018_P33_N200_B_20180530,4074,C,2018,P33,N200,B,20180530,21,DNA,16S,yes,rhizosphere,LAMPS_2018
4075_C_2018_P34_N300_A_20180530,4075,C,2018,P34,N300,A,20180530,21,DNA,16S,yes,rhizosphere,LAMPS_2018
4076_C_2018_P34_N300_B_20180530,4076,C,2018,P34,N300,B,20180530,21,DNA,16S,yes,rhizosphere,LAMPS_2018
4077_C_2018_P35_N0_A_20180530,4077,C,2018,P35,N0,A,20180530,21,DNA,16S,yes,rhizosphere,LAMPS_2018
4078_C_2018_P35_N0_B_20180530,4078,C,2018,P35,N0,B,20180530,21,DNA,16S,yes,rhizosphere,LAMPS_2018
4079_C_2018_P37_N300_A_20180530,4079,C,2018,P37,N300,A,20180530,21,DNA,16S,yes,rhizosphere,LAMPS_2018
4080_C_2018_P37_N300_B_20180530,4080,C,2018,P37,N300,B,20180530,21,DNA,16S,yes,rhizosphere,LAMPS_2018
4081_C_2018_P39_N0_A_20180530,4081,C,2018,P39,N0,A,20180530,21,DNA,16S,yes,rhizosphere,LAMPS_2018
4082_C_2018_P39_N0_B_20180530,4082,C,2018,P39,N0,B,20180530,21,DNA,16S,yes,rhizosphere,LAMPS_2018
4083_C_2018_P40_N200_A_20180530,4083,C,2018,P40,N200,A,20180530,21,DNA,16S,yes,rhizosphere,LAMPS_2018
4084_C_2018_P40_N200_B_20180530,4084,C,2018,P40,N200,B,20180530,21,DNA,16S,yes,rhizosphere,LAMPS_2018
4085_C_2018_P43_N200_A_20180530,4085,C,2018,P43,N200,A,20180530,21,DNA,16S,yes,rhizosphere,LAMPS_2018
4086_C_2018_P43_N200_B_20180530,4086,C,2018,P43,N200,B,20180530,21,DNA,16S,yes,rhizosphere,LAMPS_2018
4087_C_2018_P44_N0_A_20180530,4087,C,2018,P44,N0,A,20180530,21,DNA,16S,yes,rhizosphere,LAMPS_2018
4088_C_2018_P44_N0_B_20180530,4088,C,2018,P44,N0,B,20180530,21,DNA,16S,yes,rhizosphere,LAMPS_2018
4089_C_2018_P45_N300_A_20180530,4089,C,2018,P45,N300,A,20180530,21,DNA,16S,yes,rhizosphere,LAMPS_2018
4090_C_2018_P45_N300_B_20180530,4090,C,2018,P45,N300,B,20180530,21,DNA,16S,yes,rhizosphere,LAMPS_2018
4091_M_2017_P46_N0_A_20180530,4091,M,2017,P46,N0,A,20180530,21,DNA,16S,yes,rhizosphere,LAMPS_2018
4092_M_2017_P46_N0_B_20180530,4092,M,2017,P46,N0,B,20180530,21,DNA,16S,yes,rhizosphere,LAMPS_2018
4093_M_2017_P48_N400_A_20180530,4093,M,2017,P48,N400,A,20180530,21,DNA,16S,yes,rhizosphere,LAMPS_2018
4094_M_2017_P48_N400_B_20180530,4094,M,2017,P48,N400,B,20180530,21,DNA,16S,yes,rhizosphere,LAMPS_2018
4095_M_2017_P50_N200_A_20180530,4095,M,2017,P50,N200,A,20180530,21,DNA,16S,yes,rhizosphere,LAMPS_2018
4096_M_2017_P50_N200_B_20180530,4096,M,2017,P50,N200,B,20180530,21,DNA,16S,yes,rhizosphere,LAMPS_2018
4097_M_2015_P53_N400_A_20180530,4097,M,2015,P53,N400,A,20180530,21,DNA,16S,yes,rhizosphere,LAMPS_2018
4098_M_2015_P53_N400_B_20180530,4098,M,2015,P53,N400,B,20180530,21,DNA,16S,yes,rhizosphere,LAMPS_2018
4099_M_2015_P54_N200_A_20180530,4099,M,2015,P54,N200,A,20180530,21,DNA,16S,yes,rhizosphere,LAMPS_2018
4100_M_2015_P54_N200_B_20180530,4100,M,2015,P54,N200,B,20180530,21,DNA,16S,yes,rhizosphere,LAMPS_2018
4101_M_2015_P55_N0_A_20180530,4101,M,2015,P55,N0,A,20180530,21,DNA,16S,yes,rhizosphere,LAMPS_2018
4102_M_2015_P55_N0_B_20180530,4102,M,2015,P55,N0,B,20180530,21,DNA,16S,yes,rhizosphere,LAMPS_2018
4103_M_2016_P56_N0_A_20180530,4103,M,2016,P56,N0,A,20180530,21,DNA,16S,yes,rhizosphere,LAMPS_2018
4104_M_2016_P56_N0_B_20180530,4104,M,2016,P56,N0,B,20180530,21,DNA,16S,yes,rhizosphere,LAMPS_2018
4105_M_2016_P58_N400_A_20180530,4105,M,2016,P58,N400,A,20180530,21,DNA,16S,yes,rhizosphere,LAMPS_2018
4106_M_2016_P58_N400_B_20180530,4106,M,2016,P58,N400,B,20180530,21,DNA,16S,yes,rhizosphere,LAMPS_2018
4107_M_2016_P60_N200_A_20180530,4107,M,2016,P60,N200,A,20180530,21,DNA,16S,yes,rhizosphere,LAMPS_2018
4108_M_2016_P60_N200_B_20180530,4108,M,2016,P60,N200,B,20180530,21,DNA,16S,yes,rhizosphere,LAMPS_2018
4109_C_2018_P14_N0_BULK_DNA_20180530,4109,C,2018,P14,N0,BULK_DNA,20180530,21,DNA,16S,yes,bulk,LAMPS_2018
4110_C_2018_P13_N300_BULK_DNA_20180530,4110,C,2018,P13,N300,BULK_DNA,20180530,21,DNA,16S,yes,bulk,LAMPS_2018
4111_C_2018_P12_N200_BULK_DNA_20180530,4111,C,2018,P12,N200,BULK_DNA,20180530,21,DNA,16S,yes,bulk,LAMPS_2018
4112_M_2017_P14_N0_BULK_DNA_20180530,4112,M,2017,P14,N0,BULK_DNA,20180530,21,DNA,16S,yes,bulk,LAMPS_2018
4113_M_2017_P13_N400_BULK_DNA_20180530,4113,M,2017,P13,N400,BULK_DNA,20180530,21,DNA,16S,yes,bulk,LAMPS_2018
4114_M_2017_P12_N200_BULK_DNA_20180530,4114,M,2017,P12,N200,BULK_DNA,20180530,21,DNA,16S,yes,bulk,LAMPS_2018
4115_M_2016_P7_N0_BULK_DNA_20180530,4115,M,2016,P7,N0,BULK_DNA,20180530,21,DNA,16S,yes,bulk,LAMPS_2018
4116_M_2016_P6_N400_BULK_DNA_20180530,4116,M,2016,P6,N400,BULK_DNA,20180530,21,DNA,16S,yes,bulk,LAMPS_2018
4117_M_2016_P9_N200_BULK_DNA_20180530,4117,M,2016,P9,N200,BULK_DNA,20180530,21,DNA,16S,yes,bulk,LAMPS_2018
4118_M_2015_P4_N0_BULK_DNA_20180530,4118,M,2015,P4,N0,BULK_DNA,20180530,21,DNA,16S,yes,bulk,LAMPS_2018
4119_M_2015_P3_N400_BULK_DNA_20180530,4119,M,2015,P3,N400,BULK_DNA,20180530,21,DNA,16S,yes,bulk,LAMPS_2018
4120_M_2015_P5_N200_BULK_DNA_20180530,4120,M,2015,P5,N200,BULK_DNA,20180530,21,DNA,16S,yes,bulk,LAMPS_2018
5001_C_2018_P3_N300_A_20180703,5001,C,2018,P3,N300,A,20180703,69,DNA,16S,yes,rhizosphere,LAMPS_2018
5002_C_2018_P3_N300_B_20180703,5002,C,2018,P3,N300,B,20180703,69,DNA,16S,yes,rhizosphere,LAMPS_2018
5003_C_2018_P4_N0_A_20180703,5003,C,2018,P4,N0,A,20180703,69,DNA,16S,yes,rhizosphere,LAMPS_2018
5004_C_2018_P4_N0_B_20180703,5004,C,2018,P4,N0,B,20180703,69,DNA,16S,yes,rhizosphere,LAMPS_2018
5005_C_2018_P5_N200_A_20180703,5005,C,2018,P5,N200,A,20180703,69,DNA,16S,yes,rhizosphere,LAMPS_2018
5006_C_2018_P5_N200_B_20180703,5006,C,2018,P5,N200,B,20180703,69,DNA,16S,yes,rhizosphere,LAMPS_2018
5007_C_2018_P6_N300_A_20180703,5007,C,2018,P6,N300,A,20180703,69,DNA,16S,yes,rhizosphere,LAMPS_2018
5008_C_2018_P6_N300_B_20180703,5008,C,2018,P6,N300,B,20180703,69,DNA,16S,yes,rhizosphere,LAMPS_2018
5009_C_2018_P7_N0_A_20180703,5009,C,2018,P7,N0,A,20180703,69,DNA,16S,yes,rhizosphere,LAMPS_2018
5010_C_2018_P7_N0_B_20180703,5010,C,2018,P7,N0,B,20180703,69,DNA,16S,yes,rhizosphere,LAMPS_2018
5011_C_2018_P9_N200_A_20180703,5011,C,2018,P9,N200,A,20180703,69,DNA,16S,yes,rhizosphere,LAMPS_2018
5012_C_2018_P9_N200_B_20180703,5012,C,2018,P9,N200,B,20180703,69,DNA,16S,yes,rhizosphere,LAMPS_2018
5013_C_2018_P12_N200_A_20180703,5013,C,2018,P12,N200,A,20180703,69,DNA,16S,yes,rhizosphere,LAMPS_2018
5014_C_2018_P12_N200_B_20180703,5014,C,2018,P12,N200,B,20180703,69,DNA,16S,yes,rhizosphere,LAMPS_2018
5015_C_2018_P13_N300_A_20180703,5015,C,2018,P13,N300,A,20180703,69,DNA,16S,yes,rhizosphere,LAMPS_2018
5016_C_2018_P13_N300_B_20180703,5016,C,2018,P13,N300,B,20180703,69,DNA,16S,yes,rhizosphere,LAMPS_2018
5017_C_2018_P14_N0_A_20180703,5017,C,2018,P14,N0,A,20180703,69,DNA,16S,yes,rhizosphere,LAMPS_2018
5018_C_2018_P14_N0_B_20180703,5018,C,2018,P14,N0,B,20180703,69,DNA,16S,yes,rhizosphere,LAMPS_2018
5019_M_2015_P3_N400_A_20180703,5019,M,2015,P3,N400,A,20180703,69,DNA,16S,yes,rhizosphere,LAMPS_2018
5020_M_2015_P3_N400_B_20180703,5020,M,2015,P3,N400,B,20180703,69,DNA,16S,yes,rhizosphere,LAMPS_2018
5021_M_2015_P4_N0_A_20180703,5021,M,2015,P4,N0,A,20180703,69,DNA,16S,yes,rhizosphere,LAMPS_2018
5022_M_2015_P4_N0_B_20180703,5022,M,2015,P4,N0,B,20180703,69,DNA,16S,yes,rhizosphere,LAMPS_2018
5023_M_2015_P5_N200_A_20180703,5023,M,2015,P5,N200,A,20180703,69,DNA,16S,yes,rhizosphere,LAMPS_2018
5024_M_2015_P5_N200_B_20180703,5024,M,2015,P5,N200,B,20180703,69,DNA,16S,yes,rhizosphere,LAMPS_2018
5025_M_2016_P6_N400_A_20180703,5025,M,2016,P6,N400,A,20180703,69,DNA,16S,yes,rhizosphere,LAMPS_2018
5026_M_2016_P6_N400_B_20180703,5026,M,2016,P6,N400,B,20180703,69,DNA,16S,yes,rhizosphere,LAMPS_2018
5027_M_2016_P7_N0_A_20180703,5027,M,2016,P7,N0,A,20180703,69,DNA,16S,yes,rhizosphere,LAMPS_2018
5028_M_2016_P7_N0_B_20180703,5028,M,2016,P7,N0,B,20180703,69,DNA,16S,yes,rhizosphere,LAMPS_2018
5029_M_2016_P9_N200_A_20180703,5029,M,2016,P9,N200,A,20180703,69,DNA,16S,yes,rhizosphere,LAMPS_2018
5030_M_2016_P9_N200_B_20180703,5030,M,2016,P9,N200,B,20180703,69,DNA,16S,yes,rhizosphere,LAMPS_2018
5031_M_2017_P12_N200_A_20180703,5031,M,2017,P12,N200,A,20180703,69,DNA,16S,yes,rhizosphere,LAMPS_2018
5032_M_2017_P12_N200_B_20180703,5032,M,2017,P12,N200,B,20180703,69,DNA,16S,yes,rhizosphere,LAMPS_2018
5033_M_2017_P13_N400_A_20180703,5033,M,2017,P13,N400,A,20180703,69,DNA,16S,yes,rhizosphere,LAMPS_2018
5034_M_2017_P13_N400_B_20180703,5034,M,2017,P13,N400,B,20180703,69,DNA,16S,yes,rhizosphere,LAMPS_2018
5035_M_2017_P14_N0_A_20180703,5035,M,2017,P14,N0,A,20180703,69,DNA,16S,yes,rhizosphere,LAMPS_2018
5036_M_2017_P14_N0_B_20180703,5036,M,2017,P14,N0,B,20180703,69,DNA,16S,yes,rhizosphere,LAMPS_2018
5037_M_2016_P17_N400_A_20180703,5037,M,2016,P17,N400,A,20180703,69,DNA,16S,yes,rhizosphere,LAMPS_2018
5038_M_2016_P17_N400_B_20180703,5038,M,2016,P17,N400,B,20180703,69,DNA,16S,yes,rhizosphere,LAMPS_2018
5039_M_2016_P18_N200_A_20180703,5039,M,2016,P18,N200,A,20180703,69,DNA,16S,yes,rhizosphere,LAMPS_2018
5040_M_2016_P18_N200_B_20180703,5040,M,2016,P18,N200,B,20180703,69,DNA,16S,yes,rhizosphere,LAMPS_2018
